RQ,Model,Features,Train_MAE,Train_RMSE,Train_R2,Test_MAE,Test_RMSE,Test_R2,Bootstrap_MAE_CI_Lower,Bootstrap_MAE_CI_Upper
RQ1: Predict Midterm I,DummyRegressor(mean),n/a,5.719840075,7.447881812,0,6.777251185,8.17528677,-0.011990321,,
RQ1: Predict Midterm I,Simple Linear Regression,Qz:2,4.980440013,6.13986906,0.320401102,6.043980398,7.281158462,0.197266601,,
RQ1: Predict Midterm I,Polynomial Regression (deg=2),16 features,2.259612492,3.027023611,0.834816728,8.560807036,11.27228471,-0.923952147,25.47057345,2025.809526
RQ2: Predict Midterm II,DummyRegressor(mean),n/a,6.954297972,9.259057633,0,8.120827148,10.71156544,-0.000147541,,
RQ2: Predict Midterm II,Simple Linear Regression,S-I:1,5.292076202,6.611794553,0.490076384,5.78457739,7.190990048,0.549250186,,
RQ2: Predict Midterm II,Polynomial Regression (deg=2),17 features,1.569641524,2.112116998,0.947964184,12.80336597,18.20207929,-1.888019921,11.03943797,34.02625208
RQ3: Predict Final Exam,DummyRegressor(mean),n/a,11.54158846,16.07355901,0,13.96847,18.9611641,-0.00024371,,
RQ3: Predict Final Exam,Simple Linear Regression,S-II:1,8.464894345,10.91991724,0.53845442,9.322807642,11.80395249,0.612358076,,
RQ3: Predict Final Exam,Polynomial Regression (deg=2),18 features,1.927079689,2.782249299,0.970038194,19.15436667,30.73998979,-1.628955732,13.73141617,32.90344101
